Detailed Statistics Departures  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Airport Houston, TX George Bush Intercontinental/Houston (IAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline Frontier Airlines Inc. (F9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month(s) January, February, March, April, May, June, July, August, September, October, November, and December,,,,,,,,,,,,,,,,,,
Day(s) 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29, 30 and 31
Year(s) 2019, 2020 and 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),,,,,,,,,,,,,
F9,2/28/19,243,N326FR,DEN,515,520,160,148,5,532,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/1/19,243,N230FR,DEN,515,519,162,167,4,530,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/2/19,243,N939FR,DEN,515,505,162,162,-10,518,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/3/19,243,N304FR,DEN,515,512,162,158,-3,525,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/4/19,243,N336FR,DEN,515,507,162,180,-8,526,19,0,0,0,0,0,,,,,,,,,,,,,
F9,3/5/19,243,N910FR,DEN,515,504,162,157,-11,518,14,0,0,0,0,0,,,,,,,,,,,,,
F9,3/6/19,243,N229FR,DEN,515,510,162,159,-5,536,26,0,0,0,0,0,,,,,,,,,,,,,
F9,3/7/19,243,N236FR,DEN,515,508,162,163,-7,527,19,0,0,0,0,0,,,,,,,,,,,,,
F9,3/8/19,243,N328FR,DEN,515,509,162,153,-6,524,15,0,0,0,0,0,,,,,,,,,,,,,
F9,3/9/19,243,N211FR,DEN,515,507,162,159,-8,520,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/10/19,243,N316FR,DEN,515,610,162,155,55,624,14,48,0,0,0,0,,,,,,,,,,,,,
F9,3/11/19,243,N238FR,DEN,515,510,162,140,-5,521,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/12/19,243,N943FR,DEN,515,505,162,145,-10,517,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/13/19,243,N330FR,DEN,515,503,162,146,-12,515,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/14/19,243,,DEN,515,000,162,0,0,000,0,0,0,0,0,0,,,,,,,,,,,,,
F9,3/15/19,243,N341FR,DEN,515,513,162,142,-2,527,14,0,0,0,0,0,,,,,,,,,,,,,
F9,3/16/19,243,N939FR,DEN,515,508,162,149,-7,525,17,0,0,0,0,0,,,,,,,,,,,,,
F9,3/17/19,243,N304FR,DEN,515,505,162,153,-10,517,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/18/19,243,N206FR,DEN,515,615,162,143,60,627,12,41,0,0,0,0,,,,,,,,,,,,,
F9,3/19/19,243,N910FR,DEN,515,514,162,143,-1,525,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/20/19,243,N238FR,DEN,515,506,162,167,-9,520,14,0,0,0,0,0,,,,,,,,,,,,,
F9,3/21/19,243,N311FR,DEN,515,511,162,144,-4,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/22/19,243,N229FR,DEN,515,509,162,167,-6,546,37,0,0,0,0,0,,,,,,,,,,,,,
F9,3/23/19,243,N941FR,DEN,515,503,162,148,-12,514,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/24/19,243,N235FR,DEN,515,539,162,146,24,549,10,0,0,0,0,0,,,,,,,,,,,,,
F9,3/25/19,243,N229FR,DEN,515,506,162,154,-9,518,12,0,0,0,0,0,,,,,,,,,,,,,
F9,3/26/19,243,N938FR,DEN,515,508,162,148,-7,518,10,0,0,0,0,0,,,,,,,,,,,,,
F9,3/27/19,243,N344FR,DEN,515,508,162,152,-7,519,11,0,0,0,0,0,,,,,,,,,,,,,
F9,3/28/19,243,N307FR,DEN,515,508,162,153,-7,537,29,0,0,0,0,0,,,,,,,,,,,,,
F9,3/29/19,243,N346FR,DEN,515,515,162,131,0,528,13,0,0,0,0,0,,,,,,,,,,,,,
F9,3/30/19,243,N941FR,DEN,515,505,162,157,-10,520,15,0,0,0,0,0,,,,,,,,,,,,,
F9,3/31/19,243,N238FR,DEN,515,521,162,143,6,538,17,0,0,0,0,0,,,,,,,,,,,,,
F9,4/1/19,243,N334FR,DEN,515,731,162,147,136,747,16,121,0,0,0,0,,,,,,,,,,,,,
F9,4/2/19,243,N910FR,DEN,515,509,162,146,-6,520,11,0,0,0,0,0,,,,,,,,,,,,,
F9,4/3/19,243,N238FR,DEN,515,510,162,143,-5,523,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/4/19,243,N311FR,DEN,515,510,162,145,-5,523,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/5/19,243,N206FR,DEN,515,508,162,141,-7,521,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/6/19,243,N943FR,DEN,515,512,162,141,-3,523,11,0,0,0,0,0,,,,,,,,,,,,,
F9,4/7/19,243,N202FR,DEN,515,513,162,147,-2,526,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/8/19,243,N206FR,DEN,515,505,162,139,-10,515,10,0,0,0,0,0,,,,,,,,,,,,,
F9,4/9/19,243,N941FR,DEN,515,513,162,145,-2,525,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/10/19,243,N301FR,DEN,515,510,162,161,-5,524,14,0,0,0,0,0,,,,,,,,,,,,,
F9,4/11/19,243,N216FR,DEN,515,510,162,139,-5,523,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/12/19,243,N349FR,DEN,515,508,162,146,-7,522,14,0,0,0,0,0,,,,,,,,,,,,,
F9,4/13/19,243,N941FR,DEN,515,507,162,150,-8,516,9,0,0,0,0,0,,,,,,,,,,,,,
F9,4/14/19,243,N216FR,DEN,515,508,162,150,-7,522,14,0,0,0,0,0,,,,,,,,,,,,,
F9,4/15/19,243,N342FR,DEN,515,511,162,146,-4,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/16/19,243,N938FR,DEN,515,531,162,139,16,544,13,0,0,0,0,0,,,,,,,,,,,,,
F9,4/17/19,243,N309FR,DEN,515,506,162,139,-9,517,11,0,0,0,0,0,,,,,,,,,,,,,
F9,4/18/19,243,N223FR,DEN,515,608,162,140,53,626,18,0,31,0,0,0,,,,,,,,,,,,,
F9,4/18/19,7194,N939FR,AUS,1300,1328,45,69,28,1401,33,28,0,24,0,0,,,,,,,,,,,,,
F9,4/19/19,243,N303FR,DEN,515,506,162,156,-9,517,11,0,0,0,0,0,,,,,,,,,,,,,
F9,4/20/19,243,N910FR,DEN,515,605,162,142,50,617,12,30,0,0,0,0,,,,,,,,,,,,,
F9,4/21/19,243,N310FR,DEN,515,511,162,142,-4,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/22/19,243,N326FR,DEN,515,509,162,147,-6,526,17,0,0,0,0,0,,,,,,,,,,,,,
F9,4/23/19,243,N941FR,DEN,515,507,162,136,-8,518,11,0,0,0,0,0,,,,,,,,,,,,,
F9,4/24/19,243,N342FR,DEN,515,510,162,147,-5,520,10,0,0,0,0,0,,,,,,,,,,,,,
F9,4/25/19,243,N228FR,DEN,515,505,162,144,-10,517,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/26/19,243,N304FR,DEN,515,510,162,156,-5,520,10,0,0,0,0,0,,,,,,,,,,,,,
F9,4/27/19,243,N943FR,DEN,515,511,162,144,-4,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/28/19,243,N311FR,DEN,515,511,162,152,-4,523,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/29/19,243,N346FR,DEN,515,510,162,145,-5,522,12,0,0,0,0,0,,,,,,,,,,,,,
F9,4/30/19,245,N938FR,DEN,515,517,153,131,2,525,8,0,0,0,0,0,,,,,,,,,,,,,
F9,4/30/19,2138,N324FR,MCO,1646,1701,149,148,15,1725,24,0,0,0,0,0,,,,,,,,,,,,,
F9,4/30/19,243,N943FR,DEN,1759,1801,153,165,2,1833,32,0,0,0,0,0,,,,,,,,,,,,,
F9,4/30/19,2139,N238FR,LAS,1915,1914,202,231,-1,1957,43,0,0,28,0,0,,,,,,,,,,,,,
F9,5/1/19,245,N228FR,DEN,515,526,153,148,11,538,12,0,0,0,0,0,,,,,,,,,,,,,
F9,5/1/19,243,N939FR,DEN,1759,1823,153,155,24,1842,19,18,0,2,0,6,,,,,,,,,,,,,
F9,5/1/19,2318,N207FR,PHL,2356,2351,201,178,-5,002,11,0,0,0,0,0,,,,,,,,,,,,,
F9,5/2/19,245,N238FR,DEN,515,508,153,151,-7,518,10,0,0,0,0,0,,,,,,,,,,,,,
F9,5/2/19,2138,N338FR,MCO,1646,1855,149,136,129,1908,13,0,0,0,0,116,,,,,,,,,,,,,
F9,5/2/19,243,N943FR,DEN,1759,1755,153,158,-4,1808,13,0,0,0,0,0,,,,,,,,,,,,,
F9,5/2/19,2139,N213FR,LAS,2259,018,202,195,79,038,20,0,0,0,0,72,,,,,,,,,,,,,
F9,5/3/19,245,N305FR,DEN,515,512,153,136,-3,525,13,0,0,0,0,0,,,,,,,,,,,,,
F9,5/3/19,243,N949FR,DEN,1759,1822,153,149,23,1841,19,0,0,0,0,19,,,,,,,,,,,,,
F9,5/3/19,1618,N347FR,RDU,2000,2034,168,155,34,2049,15,0,0,0,0,21,,,,,,,,,,,,,
F9,5/3/19,2318,N301FR,PHL,2356,140,201,213,104,158,18,0,0,12,0,104,,,,,,,,,,,,,
F9,5/4/19,245,N227FR,DEN,515,547,153,146,32,602,15,25,0,0,0,0,,,,,,,,,,,,,
F9,5/4/19,243,N939FR,DEN,1759,1755,153,148,-4,1811,16,0,0,0,0,0,,,,,,,,,,,,,
F9,5/5/19,245,N338FR,DEN,515,509,153,161,-6,527,18,0,0,0,0,0,,,,,,,,,,,,,
F9,5/5/19,2138,N207FR,MCO,1646,1948,145,132,182,2001,13,42,0,0,0,127,,,,,,,,,,,,,
F9,5/5/19,243,,DEN,1759,000,153,0,0,000,0,0,0,0,0,0,,,,,,,,,,,,,
F9,5/5/19,2139,N307FR,LAS,2259,2307,202,188,8,2323,16,0,0,0,0,0,,,,,,,,,,,,,
F9,5/6/19,245,N308FR,DEN,515,517,153,142,2,532,15,0,0,0,0,0,,,,,,,,,,,,,
F9,5/6/19,243,N941FR,DEN,1759,1811,153,169,12,1823,12,12,0,16,0,0,,,,,,,,,,,,,
F9,5/6/19,1618,N232FR,RDU,2000,1953,168,151,-7,2008,15,0,0,0,0,0,,,,,,,,,,,,,
F9,5/6/19,2318,N313FR,PHL,2356,142,201,174,106,155,13,0,0,0,0,79,,,,,,,,,,,,,
F9,5/7/19,245,N326FR,DEN,515,510,153,150,-5,523,13,0,0,0,0,0,,,,,,,,,,,,,
F9,5/7/19,2138,N228FR,MCO,1710,1816,145,146,66,1846,30,0,22,1,0,44,,,,,,,,,,,,,
F9,5/7/19,243,N939FR,DEN,1815,2124,155,172,189,2137,13,0,0,17,0,189,,,,,,,,,,,,,
F9,5/7/19,2139,N221FR,LAS,1915,2311,202,235,236,2326,15,26,0,33,0,210,,,,,,,,,,,,,
F9,5/8/19,245,N342FR,DEN,515,515,153,186,0,526,11,0,0,33,0,0,,,,,,,,,,,,,
F9,5/8/19,243,N344FR,DEN,1759,1825,153,0,26,1843,18,0,0,0,0,0,,,,,,,,,,,,,
F9,5/8/19,2318,N236FR,PHL,2356,2339,201,187,-17,2349,10,0,0,0,0,0,,,,,,,,,,,,,
F9,5/9/19,245,N323FR,DEN,515,506,153,198,-9,522,16,0,0,36,0,0,,,,,,,,,,,,,
F9,5/9/19,2138,N221FR,MCO,1646,1711,145,160,25,1734,23,11,0,15,0,14,,,,,,,,,,,,,
F9,5/9/19,243,N943FR,DEN,1759,1809,153,154,10,1831,22,0,0,0,0,0,,,,,,,,,,,,,
F9,5/9/19,2139,N332FR,LAS,2259,138,202,197,159,202,24,0,0,154,0,0,,,,,,,,,,,,,
F9,5/10/19,245,N339FR,DEN,515,513,153,135,-2,525,12,0,0,0,0,0,,,,,,,,,,,,,
F9,5/10/19,1618,N205FR,RDU,852,929,168,150,37,942,13,0,0,0,0,19,,,,,,,,,,,,,
F9,5/10/19,243,N941FR,DEN,1759,1825,153,145,26,1850,25,18,0,0,0,0,,,,,,,,,,,,,
F9,5/10/19,2318,N341FR,PHL,2356,2351,201,178,-5,006,15,0,0,0,0,0,,,,,,,,,,,,,
F9,5/11/19,245,N313FR,DEN,515,511,153,147,-4,522,11,0,0,0,0,0,,,,,,,,,,,,,
F9,5/11/19,243,,DEN,1759,000,153,0,0,000,0,0,0,0,0,0,,,,,,,,,,,,,
F9,5/12/19,245,N206FR,DEN,515,517,153,144,2,526,9,0,0,0,0,0,,,,,,,,,,,,,
F9,5/12/19,2138,N316FR,MCO,1646,1723,145,125,37,1741,18,0,0,0,0,17,,,,,,,,,,,,,
F9,5/12/19,243,N938FR,DEN,1759,1831,153,144,32,1848,17,5,0,0,0,18,,,,,,,,,,,,,
F9,5/12/19,2139,N349FR,LAS,2259,2307,202,187,8,2319,12,0,0,0,0,0,,,,,,,,,,,,,
F9,5/13/19,245,N317FR,DEN,515,524,153,149,9,536,12,0,0,0,0,0,,,,,,,,,,,,,
